iter	Passed	Remaining
0	165	165304
1	166	82936
2	166	55458
3	167	41708
4	168	33468
5	168	27967
6	169	24036
7	170	21089
8	170	18795
9	171	16960
10	172	15542
11	173	14287
12	174	13222
13	174	12312
14	175	11521
15	176	10828
16	176	10217
17	177	9673
18	177	9187
19	178	8749
20	179	8354
21	179	7996
22	180	7669
23	181	7368
24	181	7091
25	182	6835
26	183	6597
27	183	6377
28	184	6171
29	184	5979
30	185	5799
31	186	5632
32	186	5478
33	189	5387
34	190	5246
35	190	5110
36	191	4989
37	192	4868
38	192	4752
39	193	4644
40	194	4540
41	195	4449
42	195	4353
43	197	4289
44	198	4205
45	198	4120
46	199	4055
47	201	3999
48	202	3926
49	202	3854
50	203	3784
51	204	3723
52	204	3659
53	205	3598
54	205	3537
55	206	3480
56	207	3424
57	207	3374
58	208	3324
59	209	3277
60	210	3236
61	211	3192
62	211	3148
63	212	3104
64	213	3066
65	213	3024
66	215	2995
67	215	2951
68	217	2933
69	218	2898
70	218	2861
71	219	2826
72	219	2791
73	220	2757
74	221	2726
75	221	2694
76	222	2667
77	223	2645
78	224	2615
79	224	2587
80	225	2563
81	226	2538
82	227	2514
83	228	2487
84	228	2459
85	229	2437
86	229	2412
87	230	2392
88	232	2378
89	233	2356
90	233	2334
91	234	2312
92	234	2289
93	235	2271
94	236	2250
95	236	2230
96	237	2211
97	238	2190
98	238	2171
99	239	2151
100	239	2132
101	239	2111
102	240	2093
103	240	2074
104	241	2058
105	242	2042
106	242	2026
107	243	2010
108	244	1994
109	244	1978
110	245	1963
111	245	1948
112	246	1933
113	247	1919
114	247	1905
115	247	1889
116	248	1876
117	249	1862
118	249	1847
119	250	1834
120	250	1821
121	251	1808
122	251	1793
123	252	1780
124	252	1767
125	253	1756
126	253	1744
127	254	1731
128	254	1720
129	255	1709
130	256	1698
131	256	1687
132	257	1676
133	257	1665
134	258	1655
135	259	1646
136	259	1636
137	260	1626
138	260	1616
139	261	1608
140	262	1599
141	263	1590
142	263	1581
143	264	1572
144	265	1564
145	265	1554
146	266	1545
147	267	1537
148	267	1529
149	268	1520
150	268	1511
151	269	1503
152	270	1496
153	270	1488
154	271	1481
155	272	1473
156	272	1465
157	273	1457
158	274	1450
159	274	1442
160	275	1436
161	276	1428
162	276	1421
163	277	1413
164	278	1406
165	278	1400
166	279	1393
167	280	1387
168	280	1380
169	281	1373
170	281	1366
171	282	1359
172	282	1352
173	283	1345
174	284	1339
175	284	1332
176	285	1327
177	286	1320
178	286	1314
179	287	1307
180	287	1300
181	288	1294
182	288	1288
183	289	1282
184	290	1277
185	290	1271
186	291	1266
187	292	1261
188	292	1255
189	293	1249
190	293	1244
191	294	1239
192	295	1234
193	295	1229
194	296	1224
195	297	1219
196	297	1214
197	298	1209
198	299	1204
199	299	1198
200	300	1194
201	301	1189
202	301	1184
203	302	1180
204	303	1175
205	303	1171
206	304	1166
207	305	1162
208	306	1158
209	306	1153
210	307	1148
211	308	1144
212	308	1140
213	309	1136
214	309	1131
215	310	1126
216	311	1122
217	311	1118
218	312	1114
219	313	1110
220	314	1107
221	314	1103
222	315	1099
223	316	1094
224	316	1090
225	317	1086
226	317	1082
227	318	1078
228	319	1074
229	319	1071
230	320	1067
231	321	1063
232	322	1060
233	322	1056
234	323	1053
235	324	1048
236	324	1045
237	325	1041
238	325	1037
239	326	1034
240	327	1030
241	327	1027
242	328	1023
243	329	1019
244	329	1016
245	330	1012
246	330	1008
247	331	1005
248	332	1001
249	332	998
250	333	994
251	334	991
252	334	987
253	335	984
254	335	981
255	336	977
256	337	974
257	337	971
258	338	968
259	338	964
260	339	961
261	340	957
262	340	954
263	341	951
264	342	948
265	342	945
266	343	942
267	343	939
268	344	936
269	345	933
270	345	930
271	346	926
272	346	923
273	347	920
274	348	918
275	348	915
276	349	912
277	350	909
278	350	907
279	351	904
280	352	901
281	352	898
